ID_CLIENTE;SAFRA_REF;PROBABILIDADE_INADIMPLENCIA
5058298901476893676;2021-07;0.18
274692171162531764;2021-07;0.02
274692171162531764;2021-07;0.05
274692171162531764;2021-07;0.02
465309249432033993;2021-07;0.04
465309249432033993;2021-07;0.05
465309249432033993;2021-07;0.03
465309249432033993;2021-07;0.02
5883155883105348987;2021-07;0.04
5883155883105348987;2021-07;0.05
4489904752023469353;2021-07;0.17
3355881107559250653;2021-07;0.03
3355881107559250653;2021-07;0.05
3355881107559250653;2021-07;0.06
3355881107559250653;2021-07;0.06
3355881107559250653;2021-07;0.04
3355881107559250653;2021-07;0.05
3355881107559250653;2021-07;0.05
6330043096034525408;2021-07;0.13
6330043096034525408;2021-07;0.1
6964108750473070287;2021-07;0.06
6964108750473070287;2021-07;0.06
6964108750473070287;2021-07;0.02
6964108750473070287;2021-07;0.06
6964108750473070287;2021-07;0.09
6964108750473070287;2021-07;0.06
6964108750473070287;2021-07;0.06
6964108750473070287;2021-07;0.09
6964108750473070287;2021-07;0.02
6964108750473070287;2021-07;0.06
6964108750473070287;2021-07;0.02
6964108750473070287;2021-07;0.03
6964108750473070287;2021-07;0.05
6964108750473070287;2021-07;0.06
6964108750473070287;2021-07;0.06
6964108750473070287;2021-07;0.06
4008627434689715639;2021-07;0.26
4008627434689715639;2021-07;0.28
4008627434689715639;2021-07;0.11
5757271354816214865;2021-07;0.2
5757271354816214865;2021-07;0.51
5757271354816214865;2021-07;0.2
5757271354816214865;2021-07;0.21
5757271354816214865;2021-07;0.22
5757271354816214865;2021-07;0.19
5757271354816214865;2021-07;0.13
5757271354816214865;2021-07;0.2
5757271354816214865;2021-07;0.13
5757271354816214865;2021-07;0.13
5757271354816214865;2021-07;0.19
5757271354816214865;2021-07;0.48
5757271354816214865;2021-07;0.19
5757271354816214865;2021-07;0.2
5757271354816214865;2021-07;0.17
8909740532547211288;2021-07;0.02
8909740532547211288;2021-07;0.05
8909740532547211288;2021-07;0.15
4045739494965095560;2021-07;0.06
4045739494965095560;2021-07;0.06
4045739494965095560;2021-07;0.05
6759864637454708017;2021-07;0.1
6759864637454708017;2021-07;0.13
6759864637454708017;2021-07;0.0
6759864637454708017;2021-07;0.01
6759864637454708017;2021-07;0.14
6759864637454708017;2021-07;0.01
6134696632487351445;2021-07;0.07
6134696632487351445;2021-07;0.13
6134696632487351445;2021-07;0.07
5373371196946859811;2021-07;0.07
3095686599956852697;2021-07;0.0
3095686599956852697;2021-07;0.0
3095686599956852697;2021-07;0.0
1616952665234409442;2021-07;0.06
1616952665234409442;2021-07;0.06
1088521227159442264;2021-07;0.01
1088521227159442264;2021-07;0.14
1088521227159442264;2021-07;0.03
8529899700094903171;2021-07;0.07
8529899700094903171;2021-07;0.01
8529899700094903171;2021-07;0.07
8529899700094903171;2021-07;0.03
8529899700094903171;2021-07;0.07
8529899700094903171;2021-07;0.115
8529899700094903171;2021-07;0.05
499242942549937267;2021-07;0.07666666666666667
499242942549937267;2021-07;0.1366666666666667
499242942549937267;2021-07;0.05
499242942549937267;2021-07;0.05
499242942549937267;2021-07;0.05
499242942549937267;2021-07;0.01
499242942549937267;2021-07;0.06
499242942549937267;2021-07;0.08
499242942549937267;2021-07;0.07
5897410907783139228;2021-07;0.08
5897410907783139228;2021-07;0.08
5897410907783139228;2021-07;0.01
5897410907783139228;2021-07;0.02
2083323809219952960;2021-07;0.0
2083323809219952960;2021-07;0.01
2083323809219952960;2021-07;0.0
2083323809219952960;2021-07;0.01
2083323809219952960;2021-07;0.02
2083323809219952960;2021-07;0.0
2083323809219952960;2021-07;0.11
2083323809219952960;2021-07;0.0
2083323809219952960;2021-07;0.0
2083323809219952960;2021-07;0.0
1953058402621337677;2021-07;0.05
1953058402621337677;2021-07;0.0
1953058402621337677;2021-07;0.0
1953058402621337677;2021-07;0.07
3408536439470975134;2021-07;0.01
3408536439470975134;2021-07;0.01
3408536439470975134;2021-07;0.01
3408536439470975134;2021-07;0.04
5687511145009775604;2021-07;0.05
5687511145009775604;2021-07;0.31
7485107528960607346;2021-07;0.04
7485107528960607346;2021-07;0.01
531805620371082364;2021-07;0.06
5761480994209806499;2021-07;0.0
5761480994209806499;2021-07;0.01
5761480994209806499;2021-07;0.06
5761480994209806499;2021-07;0.02
5761480994209806499;2021-07;0.01
5761480994209806499;2021-07;0.03
5761480994209806499;2021-07;0.0
5761480994209806499;2021-07;0.01
5761480994209806499;2021-07;0.04
5761480994209806499;2021-07;0.03
5761480994209806499;2021-07;0.04
5761480994209806499;2021-07;0.0
5761480994209806499;2021-07;0.01
5761480994209806499;2021-07;0.01
5761480994209806499;2021-07;0.03
5761480994209806499;2021-07;0.02
4762256864594914240;2021-07;0.0
8570963260597299378;2021-07;0.11
5974858472822751652;2021-07;0.02
3421433989501830226;2021-07;0.51
4327694790333781288;2021-07;0.0
4327694790333781288;2021-07;0.02
8173830874846355280;2021-07;0.06
8173830874846355280;2021-07;0.06
8173830874846355280;2021-07;0.06
8173830874846355280;2021-07;0.06
8173830874846355280;2021-07;0.06
8173830874846355280;2021-07;0.06
8173830874846355280;2021-07;0.05
8173830874846355280;2021-07;0.02
8173830874846355280;2021-07;0.03
8173830874846355280;2021-07;0.07
2347028805684088098;2021-07;0.06
3632378524835692731;2021-07;0.04
3632378524835692731;2021-07;0.09
3632378524835692731;2021-07;0.0
2033394215069562776;2021-07;0.15
2033394215069562776;2021-07;0.15
2033394215069562776;2021-07;0.16
2033394215069562776;2021-07;0.09
3285246914299291124;2021-07;0.13
3285246914299291124;2021-07;0.09
3285246914299291124;2021-07;0.1
